target_season,center_month_date,forecast_anom_c,base_period,lead_months
AMJ,2026-05-01,1.00,1991-2020,0
MJJ,2026-06-01,1.25,1991-2020,1
JJA,2026-07-01,1.60,1991-2020,2
JAS,2026-08-01,1.85,1991-2020,3
ASO,2026-09-01,2.05,1991-2020,4
SON,2026-10-01,2.15,1991-2020,5
OND,2026-11-01,2.20,1991-2020,6
NDJ,2026-12-01,2.20,1991-2020,7
DJF,2027-01-01,2.00,1991-2020,8
JFM,2027-02-01,1.80,1991-2020,9
